CSR,User,Supervisor,Machine
pmpcfg14,Not allowed,Not allowed,Not allowed
pmpcfg15,Not allowed,Not allowed,Not allowed
pmpaddr0,Not allowed,Not allowed,Not allowed
pmpaddr1,Not allowed,Not allowed,Not allowed
pmpaddr2,Not allowed,Not allowed,Not allowed
pmpaddr3,Not allowed,Not allowed,Not allowed
pmpaddr4,Not allowed,Not allowed,Not allowed
pmpaddr5,Not allowed,Not allowed,Not allowed
pmpaddr6,Not allowed,Not allowed,Not allowed
pmpaddr7,Not allowed,Not allowed,Not allowed
pmpaddr8,Not allowed,Not allowed,Not allowed
pmpaddr9,Not allowed,Not allowed,Not allowed
pmpaddr10,Not allowed,Not allowed,Not allowed
pmpaddr11,Not allowed,Not allowed,Not allowed
pmpaddr12,Not allowed,Not allowed,Not allowed
pmpaddr13,Not allowed,Not allowed,Not allowed
pmpaddr14,Not allowed,Not allowed,Not allowed
pmpaddr15,Not allowed,Not allowed,Not allowed
pmpaddr16,Not allowed,Not allowed,Not allowed
pmpaddr17,Not allowed,Not allowed,Not allowed
pmpaddr18,Not allowed,Not allowed,Not allowed
pmpaddr19,Not allowed,Not allowed,Not allowed
pmpaddr20,Not allowed,Not allowed,Not allowed
pmpaddr21,Not allowed,Not allowed,Not allowed
pmpaddr22,Not allowed,Not allowed,Not allowed
pmpaddr23,Not allowed,Not allowed,Not allowed
pmpaddr24,Not allowed,Not allowed,Not allowed
pmpaddr25,Not allowed,Not allowed,Not allowed
pmpaddr26,Not allowed,Not allowed,Not allowed
pmpaddr27,Not allowed,Not allowed,Not allowed
pmpaddr28,Not allowed,Not allowed,Not allowed
pmpaddr29,Not allowed,Not allowed,Not allowed
pmpaddr30,Not allowed,Not allowed,Not allowed
pmpaddr31,Not allowed,Not allowed,Not allowed
pmpaddr32,Not allowed,Not allowed,Not allowed
pmpaddr33,Not allowed,Not allowed,Not allowed
pmpaddr34,Not allowed,Not allowed,Not allowed
pmpaddr35,Not allowed,Not allowed,Not allowed
pmpaddr36,Not allowed,Not allowed,Not allowed
pmpaddr37,Not allowed,Not allowed,Not allowed
pmpaddr38,Not allowed,Not allowed,Not allowed
pmpaddr39,Not allowed,Not allowed,Not allowed
pmpaddr40,Not allowed,Not allowed,Not allowed
pmpaddr41,Not allowed,Not allowed,Not allowed
pmpaddr42,Not allowed,Not allowed,Not allowed
pmpaddr43,Not allowed,Not allowed,Not allowed
pmpaddr44,Not allowed,Not allowed,Not allowed
pmpaddr45,Not allowed,Not allowed,Not allowed
pmpaddr46,Not allowed,Not allowed,Not allowed
pmpaddr47,Not allowed,Not allowed,Not allowed
pmpaddr48,Not allowed,Not allowed,Not allowed
pmpaddr49,Not allowed,Not allowed,Not allowed
pmpaddr50,Not allowed,Not allowed,Not allowed
pmpaddr51,Not allowed,Not allowed,Not allowed
pmpaddr52,Not allowed,Not allowed,Not allowed
pmpaddr53,Not allowed,Not allowed,Not allowed
pmpaddr54,Not allowed,Not allowed,Not allowed
pmpaddr55,Not allowed,Not allowed,Not allowed
pmpaddr56,Not allowed,Not allowed,Not allowed
pmpaddr57,Not allowed,Not allowed,Not allowed
pmpaddr58,Not allowed,Not allowed,Not allowed
pmpaddr59,Not allowed,Not allowed,Not allowed
pmpaddr60,Not allowed,Not allowed,Not allowed
pmpaddr61,Not allowed,Not allowed,Not allowed
pmpaddr62,Not allowed,Not allowed,Not allowed
pmpaddr63,Not allowed,Not allowed,Not allowed
cycle,Conditional,Conditional,Allowed
time,Conditional,Conditional,Allowed
instret,Conditional,Conditional,Allowed
cycleh,Not allowed,Not allowed,Not allowed
timeh,Not allowed,Not allowed,Not allowed
instreth,Not allowed,Not allowed,Not allowed
mcycle,Not allowed,Not allowed,Allowed
minstret,Not allowed,Not allowed,Allowed
mcycleh,Not allowed,Not allowed,Not allowed
minstreth,Not allowed,Not allowed,Not allowed
stimecmp,Not allowed,Not allowed,Not allowed
stimecmph,Not allowed,Not allowed,Not allowed
stvec,Not allowed,Allowed,Allowed
sepc,Not allowed,Allowed,Allowed
mtvec,Not allowed,Not allowed,Allowed
mepc,Not allowed,Not allowed,Allowed
misa,Not allowed,Not allowed,Allowed
mstatus,Not allowed,Not allowed,Allowed
menvcfg,Not allowed,Not allowed,Allowed
menvcfgh,Not allowed,Not allowed,Not allowed
senvcfg,Not allowed,Allowed,Allowed
mie,Not allowed,Not allowed,Allowed
mip,Not allowed,Not allowed,Allowed
medeleg,Not allowed,Not allowed,Allowed
medelegh,Undetermined,Undetermined,Undetermined
mideleg,Not allowed,Not allowed,Allowed
mcause,Not allowed,Not allowed,Allowed
mtval,Not allowed,Not allowed,Allowed
mscratch,Not allowed,Not allowed,Allowed
scounteren,Not allowed,Allowed,Allowed
mcounteren,Not allowed,Not allowed,Allowed
mcountinhibit,Not allowed,Not allowed,Allowed
mvendorid,Not allowed,Not allowed,Allowed
marchid,Not allowed,Not allowed,Allowed
mimpid,Not allowed,Not allowed,Allowed
mhartid,Not allowed,Not allowed,Allowed
mconfigptr,Not allowed,Not allowed,Allowed
sstatus,Not allowed,Allowed,Allowed
sip,Not allowed,Allowed,Allowed
sie,Not allowed,Allowed,Allowed
sscratch,Not allowed,Allowed,Allowed
scause,Not allowed,Allowed,Allowed
stval,Not allowed,Allowed,Allowed
tselect,Not allowed,Not allowed,Allowed
tdata1,Not allowed,Not allowed,Not allowed
tdata2,Not allowed,Not allowed,Not allowed
tdata3,Not allowed,Not allowed,Not allowed
seed,Not allowed,Not allowed,Not allowed
vstart,Conditional,Conditional,Conditional
vxsat,Conditional,Conditional,Conditional
vxrm,Conditional,Conditional,Conditional
vcsr,Conditional,Conditional,Conditional
vl,Conditional,Conditional,Conditional
vtype,Conditional,Conditional,Conditional
vlenb,Undetermined,Undetermined,Undetermined
satp,Not allowed,Conditional,Allowed
